,year,month,intent,police,sex,age,race,hispanic,place,education
1,12,1,0,0,0,34,0,100,0,4
2,12,1,0,0,1,21,1,100,1,3
3,12,1,0,0,0,60,1,100,2,4
4,12,2,0,0,0,64,1,100,0,4
5,12,2,0,0,0,31,1,100,2,2
6,12,2,0,0,0,17,2,100,0,1
7,12,2,0,0,0,48,1,100,0,2
8,12,3,0,0,0,41,2,100,0,2
9,12,2,2,0,0,50,1,100,2,3
10,12,2,0,0,0,43,3,998,0,5
11,12,2,0,0,0,30,1,100,0,3
12,12,1,0,0,0,21,2,100,0,2
13,12,3,0,0,0,43,1,100,0,1
14,12,3,0,0,0,34,2,100,0,2
15,12,3,1,0,0,27,1,100,0,2
16,12,3,0,0,0,27,2,100,0,2
17,12,3,0,0,0,55,1,100,0,4
18,12,3,0,0,0,53,2,100,0,2
19,12,3,1,0,0,31,0,100,0,3
20,12,4,0,0,0,51,1,100,0,2
21,12,4,0,0,0,65,2,100,0,2
22,12,4,0,0,1,52,1,100,0,2
23,12,4,1,0,1,47,3,100,0,2
24,12,4,0,0,0,19,1,100,0,3
25,12,4,1,0,0,51,1,100,2,2
26,12,4,1,0,0,41,1,100,2,2
27,12,4,0,0,0,22,2,100,2,2
28,12,4,0,0,0,21,1,100,2,2
29,12,4,0,0,0,56,1,100,0,2
30,12,4,1,0,0,43,1,100,2,2
31,12,4,0,0,0,38,2,100,0,2
32,12,4,0,0,0,55,1,100,0,4
33,12,4,0,0,0,22,2,100,0,5
34,12,5,0,0,0,27,1,100,0,2
35,12,4,1,0,1,25,1,100,0,2
36,12,4,0,0,0,26,1,100,0,2
37,12,5,0,0,0,23,2,100,0,1
38,12,5,0,0,0,48,2,100,0,5
39,12,5,0,0,0,43,1,100,0,3
40,12,5,0,0,0,53,1,100,0,3
41,12,5,0,0,0,31,2,100,0,2
42,12,6,1,0,0,26,0,100,0,5
43,12,6,0,0,0,87,1,100,0,1
44,12,6,0,0,0,38,2,100,0,2
45,12,6,0,0,0,17,2,100,0,1
46,12,6,0,0,0,28,1,100,0,3
47,12,6,0,0,0,39,1,100,0,4
48,12,7,1,0,0,59,1,100,0,2
49,12,6,1,0,0,28,2,100,0,1
50,12,6,1,0,0,38,0,100,2,3
51,12,7,0,0,0,59,1,100,0,2
52,12,7,0,0,0,26,1,100,0,3
53,12,6,0,0,0,50,2,100,1,1
54,12,6,0,0,1,26,2,100,0,1
55,12,7,0,0,0,21,1,100,0,2
56,12,7,0,0,0,61,1,100,2,4
57,12,7,2,0,0,12,3,100,0,1
58,12,7,1,0,0,40,1,100,0,3
59,12,7,0,0,0,57,1,100,0,2
60,12,7,1,0,0,19,3,100,0,2
61,12,7,0,0,0,22,1,100,0,2
62,12,8,1,1,0,28,1,100,0,2
63,12,8,0,0,0,20,1,100,0,3
64,12,7,0,0,1,50,1,100,0,2
65,12,7,0,0,0,25,1,100,0,2
66,12,8,0,0,0,34,1,100,2,2
67,12,8,0,0,1,23,2,100,0,3
68,12,8,0,0,0,34,1,100,2,4
69,12,8,0,0,0,60,1,100,2,4
70,12,8,0,0,0,26,2,100,2,1
71,12,8,0,0,1,62,1,100,0,4
72,12,8,2,0,0,71,1,100,0,3
73,12,8,0,0,1,44,1,100,0,3
74,12,9,2,0,0,26,1,100,0,2
75,12,9,0,0,0,39,1,100,2,2
76,12,9,0,0,0,26,2,100,0,3
77,12,9,0,0,0,57,1,100,0,2
78,12,9,0,0,0,29,0,100,0,2
79,12,9,0,0,0,24,1,100,0,2
80,12,9,1,0,1,30,1,100,2,2
81,12,9,0,0,1,50,2,100,0,4
82,12,9,0,0,0,61,1,100,0,2
83,12,10,0,0,1,44,1,100,2,5
84,12,9,1,1,0,34,1,100,0,2
85,12,9,0,0,0,28,1,100,2,2
86,12,9,1,0,0,9,2,100,2,1
87,12,9,0,0,0,77,1,100,0,4
88,12,9,0,0,0,17,1,100,2,2
89,12,10,0,0,0,25,3,100,2,2
90,12,10,0,0,0,22,2,100,2,1
91,12,9,0,0,1,22,1,100,2,4
92,12,10,0,0,0,18,1,100,0,1
93,12,10,1,1,0,24,2,100,0,1
94,12,9,2,0,1,19,4,281,5,2
95,12,10,0,0,0,61,1,100,2,2
96,12,10,0,0,0,71,1,100,0,2
97,12,10,0,0,0,36,1,100,0,1
98,12,10,1,0,0,27,1,100,2,2
99,12,10,0,0,0,49,1,100,2,3
100,12,9,0,0,0,19,1,100,0,1
101,12,11,0,0,0,13,2,100,0,1
102,12,10,0,0,0,20,1,100,0,3
103,12,11,0,0,0,30,4,211,0,3
104,12,10,1,0,0,61,1,100,0,3
105,12,11,0,0,1,51,1,100,0,1
106,12,11,0,0,0,33,3,100,2,3
107,12,11,0,0,0,20,1,100,2,2
108,12,11,0,0,0,50,1,100,0,2
109,12,11,0,0,1,48,2,100,0,3
110,12,11,0,0,0,21,2,100,0,2
111,12,11,0,0,0,43,1,100,2,2
112,12,12,0,0,0,21,1,100,2,2
113,12,12,0,0,0,51,1,100,0,2
114,12,11,0,0,0,90,1,100,0,1
115,12,12,0,0,1,33,2,100,0,1
116,12,12,0,0,0,43,3,100,0,3
